time,X00,X07,X30,X31,X34,X34_diff,X31_1,X31_2,X31_3,X31_4,X31_5,X31_6,X31_7,X31_8,X31_9,X31_10,X31_11,X31_12,X34_diff_1,X34_diff_2,X34_diff_3,X34_diff_4,X34_diff_5,X34_diff_6,X34_diff_7,X34_diff_8,X34_diff_9,X34_diff_10,X34_diff_11,X34_diff_12,X34_diff_13,X34_diff_14,X34_diff_15,X34_diff_16,X34_diff_17,X34_diff_18,X34_diff_19,X34_diff_20
0,-0.19712965762124918,-0.19605407579373008,1.019463748020209,-0.3345353999253,-1.015988196965355,0.0,-0.31641840196018384,-0.2983014039950683,-0.2620674080648366,-0.22583341213460423,-0.1895994162043725,-0.1895994162043725,-0.22583341213460423,-0.22583341213460423,-0.28018440602995215,-0.2620674080648366,-0.2439504100997204,-0.2077164141694887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.26086350801015773,-0.2417500228298199,0.9637105639654282,-0.38888639382064794,-1.015988196965355,0.0,-0.3345353999253,-0.31641840196018384,-0.2983014039950683,-0.2620674080648366,-0.22583341213460423,-0.1895994162043725,-0.1895994162043725,-0.22583341213460423,-0.22583341213460423,-0.28018440602995215,-0.2620674080648366,-0.2439504100997204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,-0.23961889121385463,-0.26459799634786524,0.9311878732668057,-0.4432373877159958,-1.015988196965355,0.0,-0.38888639382064794,-0.3345353999253,-0.31641840196018384,-0.2983014039950683,-0.2620674080648366,-0.22583341213460423,-0.1895994162043725,-0.1895994162043725,-0.22583341213460423,-0.22583341213460423,-0.28018440602995215,-0.2620674080648366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,-0.21837427441755228,-0.26459799634786524,0.9033112812394147,-0.4251203897508796,-1.015988196965355,0.0,-0.4432373877159958,-0.38888639382064794,-0.3345353999253,-0.31641840196018384,-0.2983014039950683,-0.2620674080648366,-0.22583341213460423,-0.1895994162043725,-0.1895994162043725,-0.22583341213460423,-0.22583341213460423,-0.28018440602995215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,-0.21837427441755228,-0.26459799634786524,0.8940190838969517,-0.4432373877159958,-1.015988196965355,0.0,-0.4251203897508796,-0.4432373877159958,-0.38888639382064794,-0.3345353999253,-0.31641840196018384,-0.2983014039950683,-0.2620674080648366,-0.22583341213460423,-0.1895994162043725,-0.1895994162043725,-0.22583341213460423,-0.22583341213460423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,-0.26086350801015773,-0.28744596986591053,0.8940190838969517,-0.4432373877159958,-1.015988196965355,0.0,-0.4432373877159958,-0.4251203897508796,-0.4432373877159958,-0.38888639382064794,-0.3345353999253,-0.31641840196018384,-0.2983014039950683,-0.2620674080648366,-0.22583341213460423,-0.1895994162043725,-0.1895994162043725,-0.22583341213460423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,-0.23961889121385463,-0.31029394338395505,0.8336198011709383,-0.46135438568111137,-1.015988196965355,0.0,-0.4432373877159958,-0.4432373877159958,-0.4251203897508796,-0.4432373877159958,-0.38888639382064794,-0.3345353999253,-0.31641840196018384,-0.2983014039950683,-0.2620674080648366,-0.22583341213460423,-0.1895994162043725,-0.1895994162043725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,-0.19712965762124918,-0.28744596986591053,0.8522041958558656,-0.46135438568111137,-1.015988196965355,0.0,-0.46135438568111137,-0.4432373877159958,-0.4432373877159958,-0.4251203897508796,-0.4432373877159958,-0.38888639382064794,-0.3345353999253,-0.31641840196018384,-0.2983014039950683,-0.2620674080648366,-0.22583341213460423,-0.1895994162043725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,-0.23961889121385463,-0.28744596986591053,0.8475580971846342,-0.4251203897508796,-1.015988196965355,0.0,-0.46135438568111137,-0.46135438568111137,-0.4432373877159958,-0.4432373877159958,-0.4251203897508796,-0.4432373877159958,-0.38888639382064794,-0.3345353999253,-0.31641840196018384,-0.2983014039950683,-0.2620674080648366,-0.22583341213460423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,-0.3033527416027632,-0.28744596986591053,0.9033112812394147,-0.4432373877159958,-1.015988196965355,0.0,-0.4251203897508796,-0.46135438568111137,-0.46135438568111137,-0.4432373877159958,-0.4432373877159958,-0.4251203897508796,-0.4432373877159958,-0.38888639382064794,-0.3345353999253,-0.31641840196018384,-0.2983014039950683,-0.2620674080648366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
