id,Y18
4752,20.8937
4753,20.8419
4754,20.8286
4755,20.7037
4756,20.615
4757,20.5832
4758,20.4828
4759,20.3681
4760,20.2238
4761,20.2351
4762,20.0843
4763,19.963
4764,19.8254
4765,19.759
4766,19.8328
4767,19.5789
4768,19.3701
4769,19.2867
4770,19.0741
4771,19.0619
4772,18.952
4773,18.8047
4774,18.7716
4775,18.6925
4776,18.7029
4777,18.7768
4778,18.5731
4779,18.4686
4780,18.3083
4781,18.1333
4782,18.0367
4783,17.9831
4784,17.8334
4785,17.9428
4786,18.0681
4787,18.2578
4788,18.4129
4789,18.8028
4790,19.1217
4791,19.6269
4792,20.2174
4793,20.9735
4794,21.7173
4795,22.6684
4796,23.4012
4797,24.3699
4798,25.0688
4799,25.9914
4800,26.8556
4801,27.6016
4802,28.1334
4803,28.5331
4804,28.8174
4805,29.7625
4806,30.7803
4807,31.6421
4808,32.0257
4809,32.6468
4810,32.9074
4811,33.5326
4812,34.1882
4813,34.4341
4814,34.6077
4815,34.9861
4816,35.7188
4817,36.3644
4818,36.8855
4819,37.5307
4820,37.2918
4821,37.7105
4822,38.0624
4823,38.2081
4824,38.2916
4825,38.458
4826,38.4561
4827,37.9662
4828,38.0208
4829,38.5345
4830,38.4004
4831,38.1556
4832,38.2923
4833,38.1053
4834,37.9946
4835,37.4738
4836,36.8998
4837,36.5385
4838,35.9249
4839,36.0229
4840,36.0891
4841,36.1403
4842,36.2498
4843,36.0871
4844,35.7243
4845,35.3413
4846,34.5343
4847,34.1205
4848,33.9222
4849,33.3053
4850,32.7799
4851,32.7087
4852,32.9161
4853,32.9904
4854,32.9757
4855,32.501
4856,31.9171
4857,31.8659
4858,31.5453
4859,31.2266
4860,30.8389
4861,30.6325
4862,30.3429
4863,30.2596
4864,29.9875
4865,29.598
4866,29.1269
4867,28.7005
4868,28.32
4869,27.6293
4870,27.114
4871,26.6551
4872,26.3002
4873,25.9184
4874,25.7497
4875,25.4401
4876,25.1784
4877,24.8889
4878,24.542
4879,24.2462
4880,23.9652
4881,23.7717
4882,23.7184
4883,23.4364
4884,23.1504
4885,23.0746
